,song_name,song_id,song_genre,artist,artist_id,artist_genre,release_date,duration_ms,popularity
22,Nine Below Zero - Live,1GyYfnn4uKRQ2cgIlo3D9q,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2003-09-02,323933,18
23,"Texas Flood - Live at Montreux Casino, Montreux, Switzerland - July 1982",0AE1Ymr9Cjam8BLt5FcTRO,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,627400,24
24,Hummingbird,0CF1X2oxbHWyFNPG2CPeNX,blues,"['B.B. King', 'John Mayer']","['5xLSa7l4IV1gsQfhAMvl0U', '0hEurMDQu99nJRq8pTxO14']","[['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues'], ['neo mellow', 'pop', 'pop rock', 'singer-songwriter']]",2005-01-01,280546,49
25,I Shot The Sheriff,40NZobC8kyAi9RgVYS0Bn9,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",2005-01-01,263933,38
26,Roberta,3tbDILoDBJC0rHZgRMM482,blues,Lead Belly,3Ovf2lytXSXWFM2cwsJACC,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'texas blues', 'traditional blues', 'traditional folk']",2011-02-16,187360,0
27,Love Me Like A Man - Live,7y4LFsWmJGwWYmQLnbqIqE,blues,Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",2003-01-01,288906,27
28,Mean Old World,1O1MpEf5lM789y3hSMqE7K,blues,T-Bone Walker,6nPKmEbQmR8jGZEm7ArOFX,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'texas blues', 'traditional blues']",2006,173500,0
29,Sweet home Chicago,3zf9b2FixBUBrfNUpdi1ML,blues,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",2011-04-05,181580,0
30,Thank Me Someday,6raKumUf0iCaBRZWG25KY2,blues,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",2010-10-25,342906,12
31,Death Letter,6szxWtYhIKVz7lChhHkpwf,blues,Son House,15oeqKO5k5uZ5773tWvpda,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",2006-08-24,253359,8
32,I'm Your Hoochie Coochie Man,4Eh2LpK2I86jhh4wdEkout,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1992-03-27,237360,27
33,Sweet Inspiration,6RMhGW31lycj4UqKsLIJyr,blues,The Derek Trucks Band,1YwfENKEZrowcmtR1nALZn,"['blues', 'blues rock', 'country rock', 'electric blues', 'funk', 'jam band', 'modern blues', 'modern blues rock', 'roots rock', 'southern rock']",2009-01-13,278906,47
34,Ball And Biscuit,1GTHfNDbLFT6pgDFJvPFxu,blues,The White Stripes,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,439000,0
35,Release Me,7dSms9kkYxLxsh5dPPQaKe,blues,Junior Kimbrough,03HEHGJoLPdARs4nrtUidr,"['acoustic blues', 'blues', 'blues rock', 'country blues', 'delta blues', 'modern blues rock', 'punk blues', 'traditional blues']",2002-07-23,321293,0
36,Rock House Boogie,1esmEZP4hrnK46h1VSdAUa,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2011-04-12,176133,0
37,Layla,0S2cMsSo3KgOQF8QdxgYrk,blues,"['Derek & The Dominos', 'Eric Clapton']","['2rc78XDH9zuJP6bm78lU8Z', '6PAt558ZEZl0DmdXlnjMgD']","[['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock'], ['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']]",1995-03-07,433106,0
38,You Can't Teach An Old Dog New Tricks,3iN5048zS7kwyCGeNinf3A,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2011-05-30,214053,0
39,Me and Bobby McGee,6rtIf2peTj5KMl7o6G0ldg,blues,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']",2012-04-17,269786,40
40,Blue Ridge Mountains,6T8qnBbc2rxlWLiweD1e5M,blues,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",2008-06-03,265773,0
41,Walkin' The Boogie,7raDFRvIHLFg9FLku963xk,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2007-07-01,154760,0
42,Fixin' To Die,6yon8Hb3Ur7aXXjfy4dLkd,blues,Bukka White,2gSskdDhLQCx3CQd6XKDhp,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues']",2008-01-01,169041,0
43,Woke Up This Morning - 2002 Digital Remaster,0aMyEvjv8gmIqsXMDPU1rj,blues,Gary Moore,23wr9RJZg0PmYvVFyNkQ4j,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']",2006,230626,9
44,Crossroads - Remastered Version,6mGy6bzPJ6hrgPnVJZCEd4,blues,Ry Cooder,1CPwHx5lgVxv0rfcp7UXLx,"['blues', 'blues rock', 'country blues', 'country rock', 'folk', 'folk rock', 'mellow gold', 'modern blues', 'piedmont blues', 'roots rock', 'singer-songwriter']",1986,264200,43
45,"Shake, Rattle and Roll",7aLoa1F3EoM8AeC6Ao1RKz,blues,Big Joe Turner,1DTgcOxytJHD8p17mhSgd7,"['blues', 'boogie-woogie', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'traditional blues']",2007-10-30,179626,45
46,You Don't Know My Mind,3YwHkFhsCB9WARodNJcERE,blues,Hugh Laurie,5WM5zPOswRcPu07rxP2dQv,['comic'],2011-04-18,219133,36
47,Do The Do,0XwDLrcIlpTZM6MrzCVUXu,blues,"[""Howlin' Wolf"", 'Eric Clapton']","['0Wxy5Qka8BN9crcFkiAxSR', '6PAt558ZEZl0DmdXlnjMgD']","[['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues'], ['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']]",1971-01-01,143826,0
48,Willie The Wimp - Live,1nwXca4jNGWDpowRQnEiEv,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",2002-08-27,274800,31
49,Don't Go To Strangers - from the Hootenanny 2006,0pJk0HKFWkL9unkTOcTfrT,blues,"Jools Holland, Amy Winehouse and Paul Weller",0LyNy7WH76qOIJMrU4dgNo,[],2012-11-29,247160,39
50,They Call Me Muddy Waters,1fNySgfgaSOchdOlvXQysu,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2011-07-24,201289,0
51,Six Days On the Road,29fflNwELe8dHQ2zN4IAGw,blues,Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk rock', 'funk', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",2005,180413,19
52,You Got Me Dizzy,1kav160DmKZwRH5nmh8g6i,blues,Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",2003,166000,27
53,Killing Floor,4Uesxvcv7YpBZ3dCuVhbUo,blues,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'classic rock', 'delta blues', 'harmonica blues', 'memphis blues', 'soul', 'traditional blues']",2003-01-01,170000,0
54,I've Been Loving You Too Long,4pdLyulbYLCrPmDzWWeJIZ,blues,Otis Redding,60df5JBRRPcnSpsIMxxwQm,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",1965-09-15,181666,59
55,Stang's Swang - Alternate Version,1zO47jCtwsqZ73yKzOtM2d,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,164280,26
56,Shake Your Moneymaker,5kgzVG32k9hHUzec5MDfQ0,blues,Elmore James,0q9kpdDkEA3H17gcRMjgVS,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",2008-07-22,157186,0
57,She Just Wants To Dance,5Xwt15HIJogVrerl0bzkGb,blues,Keb' Mo',6iDaoPZVgxrTkndDCisX8F,"['blues', 'blues rock', 'country blues', 'country rock', 'electric blues', 'modern blues', 'piedmont blues', 'traditional blues']",1994-05-22,208426,42
58,Piece of My Heart,2RWraN4ZkuqjcNQAlBNGEH,blues,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']",1993-11-23,266240,0
59,Tighten Up,2MVwrvjmcdt4MsYYLCYMt8,blues,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",2010-05-18,211080,62
60,Heartbreaker,7FsTzkfmKjB6GTXFHdsyrt,blues,"['Joe Bonamassa', 'Glenn Hughes']","['2SNzxY1OsSCHBLVi77mpPQ', '50FDiYHYqGJkaCuK4JhAYw']","[['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock'], ['album rock', 'hard rock']]",2011-03-22,349293,24
61,Roll Over Beethoven,21kxAKRc4AoePCd5IIPhl3,blues,Chuck Berry,293zczrfYafIItmnmM3coR,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",2011-03-14,143426,0
62,Say What!,0IMD7hZXFjuvSVFae35B6X,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",2002-08-27,323426,31
63,Midnight Rider,7egyR1d4Xmr1TsmpJct9bL,blues,Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",2000-01-01,178000,0
64,She Caught the Katy and Left Me a Mule to Ride,0c42JkNYZzZTNVWJvIuaRm,blues,Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk rock', 'funk', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",2005,207413,25
65,Sinner's Prayer,1nuFehrAvHEroephMV6dCN,blues,"['Joe Bonamassa', 'Beth Hart']","['2SNzxY1OsSCHBLVi77mpPQ', '30TrHDLNCKQVTYWOn9QqOC']","[['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock'], ['blues rock', 'electric blues', 'lilith', 'modern blues']]",2011-09-27,268000,0
66,Bad To The Bone,6s0NHplywwr1IjnQpUpWJk,blues,George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'heartland rock', 'mellow gold', 'rock']",1982-01-01,292173,70
67,Sinner's Prayer (with B.B. King),3jgkfxYX4nblzWhK0oNk6I,blues,"['Ray Charles', 'B.B. King']","['1eYhYunlNJlDoQhtYBvPsi', '5xLSa7l4IV1gsQfhAMvl0U']","[['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz'], ['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']]",2004-08-30,265226,0
68,Cocaine,2pQ6i5Ll6ggtG5T4RK5J9G,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",2007-10-08,213320,0
69,Baby Lee,5sbnWM2zCmjhRUpZG7cvIY,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2012-09-11,178468,0
70,Reet Petite - from the Hootenanny 2010,61dAmAxris3oZ36rhrIURJ,blues,Jools Holland & Cee Lo Green,6ADbteb27cSbzlRPq77qHO,[],2012-11-29,178760,23
71,(You Make Me Feel Like) A Natural Woman,29N4xnL6SpjkQiuPaTvQXA,blues,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",2007-10-29,159933,47
72,Voodoo Child (Slight Return),1kY6OOTBmRNzhYmu9xSH3a,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,478746,53
73,Pay the Band,48yOW2e3ONxgllr7emYL97,blues,Buddy Whittington,7vjDp4O4hkJGI6VRV5zUWS,"['power blues-rock', 'texas blues']",2010-04-30,273426,0
74,(My Eyes) Keep Me in Trouble,3UTxAI2HAOlAA98WhhjekE,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1981,197893,9
