,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
22,22,A Tout Le Monde - Remastered 2004,6olS0TmHmsGr0hXtcBsiVM,heavy-metal,https://open.spotify.com/track/6olS0TmHmsGr0hXtcBsiVM,Megadeth,1Yox196W7bzVNZI7RBaPnf,"['album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",1994-10-28,262133,64,0.272,0.747,5,-4.86,0,0.0401,0.000393,4.03e-05,0.16,0.255,202.77700000000002,262133,4,"Don't remember where I was
I realized life was a game
The more seriously I took things
The harder the rules became

I had no idea what it'd cost
My life passed before my eyes
I found out how little I accomplished
All my plans denied

So as you read this know my friends
I'd love to stay with you all
Please smile when you think of me
My body's gone that's all

A tout le monde
A tout mes amis
Je vous aime
Je dois partir
These are the last words
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
23,23,Evisceration Plague,1Ds58cpyJzL0YTKk02vh1C,heavy-metal,https://open.spotify.com/track/1Ds58cpyJzL0YTKk02vh1C,Cannibal Corpse,0yLwGBQiBqhXOvmTfH2A7n,"['alternative metal', 'brutal death metal', 'buffalo ny metal', 'death metal', 'metal', 'nu metal']",2009-02-03,270920,48,0.29100000000000004,0.98,1,-5.138,1,0.153,0.0012699999999999999,0.091,0.102,0.257,79.792,270920,4,"Experimental pathogens, a devil's design
The dark side of science breeds a weapon of war
Contagious killing and internal distress
Homicide or suicide will be the cause of death

Internal organs altered by the disease
Your brain disabled by the constant pain
Erratic actions lead my thoughts to the blade
I've lost control, I've lost control

Beg for your life, you won't escape the knife
Your fate was sealed today
Disease has spread, you pray for death
Evisceration plague

Stabbing compulsion overwhelms my mind
Terrorized screaming follows the thrust of my knife
I wrench the blade from the chest to the crotch
Organs and entrails fall to the ground

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
24,24,Kingdom for a Heart,7cNVP5VNbleZNozH0q8SvG,heavy-metal,https://open.spotify.com/track/7cNVP5VNbleZNozH0q8SvG,Sonata Arctica,5YeoQ1L71cXDMpSpqxOjfH,"['finnish power metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",2014-11-18,227573,0,0.591,0.97,10,-2.688,0,0.0744,0.000175,0.000504,0.0733,0.40700000000000003,125.01799999999999,227573,4,"What the hell are you standing there for?!
Expecting me to help you, when I'm down myself,
Waiting my saviour, my world is flooding over,
There's no room for air, I can't breathe,
I would give a kingdom for one more day

I'd give a kingdom
For one more day as a king of your world
I'd give a kingdom, for one more day

What the hell am I waiting here for,
Expecting you to come and give away your life,
Just for a moment of my time,
Have a hole where I should have a heart,
I'm made of wood, I'm falling apart,
I would give a kingdom for one more day

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
25,25,Animal (Fuck Like a Beast),570k0iNqjdLlBjkVBPajWy,heavy-metal,https://open.spotify.com/track/570k0iNqjdLlBjkVBPajWy,W.A.S.P.,3BVkDHWRvLJEyKdvhLbjsq,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",1984,187800,0,0.21100000000000002,0.972,10,-3.755,0,0.188,0.00323,7.31e-06,0.573,0.20199999999999999,143.75,187800,4,"I got pictures of naked ladies
Lyin' on their beds
I whiff that smell and sweet convulsion
Starts a swellin' inside my head

I'm makin' artificial lovers for free
I start to howl, I'm in heat
I moan and growl and the hunt drives me crazy
I fuck like a beast

I come around, round I come, feel your love (I'm an animal)
Tie you down, down I come, steal your love (I'm an animal)
I come around, round I come, feel your love (I'm an animal)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
26,26,Ausgebombt,4JwGbb9epcKKhrHcGjsscT,heavy-metal,https://open.spotify.com/track/4JwGbb9epcKKhrHcGjsscT,Sodom,6SYbLA9utoNsllunR1TnkM,"['black thrash', 'crossover thrash', 'death metal', 'deathrash', 'german metal', 'german thrash metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']",1989,185013,0,0.285,0.977,2,-4.4430000000000005,1,0.195,3.19e-05,0.0328,0.0772,0.47200000000000003,154.814,185013,4,"We've drudged many decades to live free from care
The war began, it was enough to drive us to despair
A time when bread was more worth than pure gold
We missed the warmness saved us from the wintry cold

No trade with death, no trade with arms
Dispense the war, learn from the past

Ausgebombt
Ausgebombt
Ausgebombt
Ausgebombt

Slogans to hold out till end, dreams ramble to the sky
Evacuated far away, we left everything behind
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
27,27,Clouds Over California,21WIpZXepY9HA7NDwYiNaM,heavy-metal,https://open.spotify.com/track/21WIpZXepY9HA7NDwYiNaM,DevilDriver,79el7mcHYhXYW3Zek21i0L,"['alternative metal', 'groove metal', 'industrial metal', 'melodic death metal', 'melodic metalcore', 'metal', 'metalcore', 'nu metal', 'rap rock']",2007-06-14,249853,53,0.45899999999999996,0.966,2,-3.985,1,0.0758,9.109999999999999e-05,0.017,0.217,0.376,175.06900000000002,249853,4,"Come forth for the cattle call
Confront the evil river you can't control
Wicked ways and venomous eyes
Just human nature in disguise
Lost in this world, out on the edge
With death by our sides
Today I swore that I wouldn't mourn ya
Clouds over California

If that's the way it's gonna be then I'll fuckin' go it alone
I'm a saint in sinner's eyes
Curse the clouds over California
This is the call to obey
Let the chaos reign!
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
28,28,Any Means Necessary,5JDxgnErZ8ccEnzVR3bOPb,heavy-metal,https://open.spotify.com/track/5JDxgnErZ8ccEnzVR3bOPb,HammerFall,2o18h28enlHxj887tATc58,"['gothenburg metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'swedish power metal', 'symphonic metal']",2009-02-20,215306,0,0.466,0.963,0,-3.759,0,0.0483,0.000221,0.508,0.425,0.355,109.994,215307,4,"I won't pull the trigger
Just to see you die
No remedy to make me come alive

I'm ticking like a timebomb

No fuse, just guts and gore
To initiate the burning of the core

I count down to zero, pull the trigger, no parole
No mercy, have mercy, no mercy on your soul

Kill by any means necessary
Win by any means necessary
Live by any means necessary
Die by any means necessary

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
29,29,Language II: Conspire,6U5yvC1UxQH459M7h3XJrb,heavy-metal,https://open.spotify.com/track/6U5yvC1UxQH459M7h3XJrb,The Contortionist,7nCgNmfYJcsVy3vOOzExYS,"['deathcore', 'djent', 'melodic metalcore', 'progressive post-hardcore', 'sci-fi metal']",2014-09-16,255600,0,0.223,0.8590000000000001,6,-5.0489999999999995,1,0.107,0.00109,0.0111,0.268,0.177,176.16,255600,4,"We are primordial sound
Outward and in, omnidirectional
We are existence

Salvage the mother sun
Destroy the rest
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
30,30,Blow Your Trumpets Gabriel,4JynkH6Oa9cJ0zUTzYA2UP,heavy-metal,https://open.spotify.com/track/4JynkH6Oa9cJ0zUTzYA2UP,Behemoth,1MK0sGeyTNkbefYGj673e9,"['black metal', 'death metal', 'metal', 'pagan black metal', 'polish black metal', 'polish death metal', 'polish metal']",2014-02-04,265440,43,0.17300000000000001,0.938,6,-4.6419999999999995,1,0.0807,0.00021600000000000002,0.00244,0.271,0.17600000000000002,118.064,265440,4,"I saw the virgin's cunt spawning forth the snake
I witnessed tribes ov Judah reduced to ruin
I watched disciples twelve dissolved by flame
Looked down on son ov god snuffed in vain

Blow your trumpets Gabriel!
As I beheld the bewilderment ov Eden
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
31,31,Light Bearer,0yt0tDGpiWoxWfw4mTOzq5,heavy-metal,https://open.spotify.com/track/0yt0tDGpiWoxWfw4mTOzq5,Thy Art Is Murder,3et9upNERQI5IYt5jEDTxM,"['australian metal', 'australian metalcore', 'deathcore', 'melodic metalcore', 'metalcore']",2015-06-29,235893,0,0.447,0.985,6,-3.68,1,0.198,0.000134,1.17e-05,0.574,0.324,139.829,235893,4,"Serpent upon the cross
Faith swept into blackness
So shall there be restitution
In the slaughter of the masses

Rise oh great deceiver
Return to the gardens alas
As it was so it shall be again
Enthroned in mirrored halls
The day of the false prophet has come to pass

There'll be a cleansing of the saints
Towards the left hand path desperate they crawl
All are guilty of their own demise
The burden of lies will swallow them all

Bring me the eyes of the father
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
32,32,Hail and Kill,5HkvAtKEPDLmchWYmepqYB,heavy-metal,https://open.spotify.com/track/5HkvAtKEPDLmchWYmepqYB,Manowar,4CzUzn54Cp9TQr6a7JIlMZ,"['comic metal', 'hard rock', 'metal', 'power metal', 'rock', 'us power metal']",1988-11-01,357026,50,0.358,0.857,4,-12.569,0,0.0581,0.0047799999999999995,5.2000000000000004e-05,0.0586,0.2,93.156,357027,4,"Brothers, I am calling
From the valley of the kings
With nothing to atone
A dark march lies ahead
Together we will ride
Like thunder from the sky
May your sword stay wet
Like a young girl in her prime
Hold your hammers high

Blood and death are waiting like a raven in the sky
I was born to die
Hear me while I live
As I look into your eyes
None shall hear a lie
Power and dominion are taken by the will
By divine right, hail and kill

Hail, hail, hail and kill
Hail and kill
Hail, hail, hail and kill
Hail and kill
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
