,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
632,Here's a Quarter (Call Someone Who Cares),6BTCpaBTxlqGMOl0P6hvvX,country,https://open.spotify.com/track/6BTCpaBTxlqGMOl0P6hvvX,Travis Tritt,2M4Yt7oKGoYd0wqU44k4i2,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']",1991,152333,54,0.648,0.572,7,-7.494,1,0.026,0.304,0.0,0.131,0.598,112.423,152333,3
633,Used to Love You Sober,6V3wTb4VVDWRw3YEDgc6Py,country,https://open.spotify.com/track/6V3wTb4VVDWRw3YEDgc6Py,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['contemporary country', 'country road']",2016-03-25,181680,58,0.525,0.674,1,-6.053,1,0.0282,0.0405,0.0,0.339,0.431,147.978,181680,4
634,A Love Like This,4BPkkDhlYHx9zhv3vaOxJw,country,https://open.spotify.com/track/4BPkkDhlYHx9zhv3vaOxJw,Thompson Square,0Bvs8yPjrQSbmVIRqSg1Sp,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",2018-06-01,200386,0,0.65,0.856,1,-4.351,1,0.0397,0.0249,0.0,0.109,0.462,125.992,200387,4
635,Brace for Impact (Live a Little),1cRc03E5Ps0fwe4l8fz2J0,country,https://open.spotify.com/track/1cRc03E5Ps0fwe4l8fz2J0,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,"['alternative americana', 'indie folk', 'kentucky roots', 'nashville singer-songwriter', 'new americana', 'outlaw country']",2016-04-15,349266,52,0.616,0.706,0,-6.846,1,0.0233,0.00969,0.313,0.111,0.655,89.998,349267,4
636,They Can't See,5MWh6lbMcEWMvEe2OJ5Cso,country,https://open.spotify.com/track/5MWh6lbMcEWMvEe2OJ5Cso,Michael Tyler,5xxL6lJNSeb1D22HZxoj5K,['country pop'],2017-03-17,192426,39,0.638,0.571,5,-6.722,1,0.0326,0.259,0.0,0.107,0.629,93.907,192427,4
637,Weekend,4Iv8YSSJfM4LE66TZNGpbX,country,https://open.spotify.com/track/4Iv8YSSJfM4LE66TZNGpbX,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['contemporary country', 'country road']",2018-08-08,228560,45,0.667,0.706,4,-6.259,1,0.0428,0.374,0.0,0.297,0.836,80.014,228560,4
638,Convoy,6dGWq08LXuIw6T2oUeHECh,country,https://open.spotify.com/track/6dGWq08LXuIw6T2oUeHECh,C.W. McCall,0iTkPxRldzi5lmS6qZ70JV,['truck-driving country'],1990-01-01,230600,60,0.68,0.543,5,-14.876,1,0.141,0.857,0.000116,0.0881,0.796,111.62,230600,4
639,This Is It,34DFpyq5NJJ79GnGbbJH3p,country,https://open.spotify.com/track/34DFpyq5NJJ79GnGbbJH3p,Scotty McCreery,6ZV6lGY0prbqpTD0Md8i29,"['contemporary country', 'country', 'country road', 'modern country rock']",2018-03-16,230973,1,0.557,0.511,8,-6.788,1,0.0291,0.254,0.0,0.099,0.602,156.042,230973,4
640,I Do (Cherish You),24SM5UDYgjEzNUcVu2cURV,country,https://open.spotify.com/track/24SM5UDYgjEzNUcVu2cURV,Mark Wills,0dlwjJe4kg9TgOMN184bJF,"['contemporary country', 'country', 'country road']",1998-01-01,199706,53,0.586,0.477,6,-8.136,1,0.0243,0.593,0.0,0.0935,0.308,82.991,199707,4
641,(What This World Needs Is) A Few More Rednecks,0egmXjMeF4XP8HCRP5si1U,country,https://open.spotify.com/track/0egmXjMeF4XP8HCRP5si1U,The Charlie Daniels Band,12d4iIvTOk7JkI6ecvc3ca,"['classic rock', 'country', 'country rock', 'southern rock']",1989-10-17,222066,54,0.719,0.572,0,-11.463,1,0.0365,0.339,0.0,0.301,0.756,100.432,222067,4
642,Church Bells,67citk3uzWs5qbaIVKTeg8,country,https://open.spotify.com/track/67citk3uzWs5qbaIVKTeg8,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']",2015-10-23,193333,65,0.575,0.844,3,-1.772,0,0.0633,0.226,0.0,0.0538,0.542,87.007,193333,4
643,Where I Go When I Drink,0950zBhDfpTlPmANus8lIq,country,https://open.spotify.com/track/0950zBhDfpTlPmANus8lIq,Chris Young,4BYxqVkZyFjtik7crYLg5Q,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-10-20,210346,44,0.6,0.32,0,-10.579,1,0.0265,0.697,0.0,0.105,0.346,113.817,210347,4
644,Wrecks Me,7su9EcwXJVIw5tXGWtaIQc,country,https://open.spotify.com/track/7su9EcwXJVIw5tXGWtaIQc,Stephen Carey,5R4aCM4MHu9UvbvfDgW6N1,[],2018-09-21,195091,34,0.476,0.841,8,-3.607,0,0.0499,0.0445,0.0,0.165,0.768,162.011,195092,4
645,Guys Like Me,2FNYp8WnWlqkI4J0Zgea7a,country,https://open.spotify.com/track/2FNYp8WnWlqkI4J0Zgea7a,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,"['contemporary country', 'country', 'country road']",2006-01-01,191053,56,0.453,0.798,0,-6.92,1,0.0305,0.00225,1.19e-06,0.331,0.694,158.069,191053,4
646,Baby This and Baby That,1AdlT7kyTurdLmuUkfhFoa,country,https://open.spotify.com/track/1AdlT7kyTurdLmuUkfhFoa,Jon Wolfe,7fmSLVnnxwwMYj8Wc0rKyp,"['country pop', 'modern country rock', 'red dirt', 'texas country']",2017-06-16,180133,31,0.479,0.862,2,-4.225,1,0.0349,0.00115,0.0,0.103,0.824,183.936,180133,4
647,Country Club,6o7BCdJjGvHBBPMb4ZrA68,country,https://open.spotify.com/track/6o7BCdJjGvHBBPMb4ZrA68,Travis Tritt,2M4Yt7oKGoYd0wqU44k4i2,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']",1990,190800,54,0.805,0.57,4,-8.215,1,0.0272,0.194,1.46e-05,0.106,0.76,126.478,190800,4
648,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s,country,https://open.spotify.com/track/2BgunkkepMPFpArQj1Dx5s,"['Rodney Atkins', 'The Fisk Jubilee Singers']","['2qgvmDsc4jrqbAbjq1HGM2', '0UGSKGxAJfltNONQ4AtETL']","[['contemporary country', 'country', 'country road', 'modern country rock'], ['spirituals', 'vintage gospel', 'vocal harmony group']]",2018-03-23,160991,67,0.603,0.852,7,-5.166,1,0.0463,0.0137,0.0,0.513,0.655,124.091,160991,4
649,It's Five O'Clock Somewhere,4MsL8usISbBWiuBI6nfLwO,country,https://open.spotify.com/track/4MsL8usISbBWiuBI6nfLwO,"['Alan Jackson', 'Jimmy Buffett']","['4mxWe1mtYIYfP040G38yvS', '28AyklUmMECPwdfo8NEsV0']","[['contemporary country', 'country', 'country road'], ['folk rock', 'mellow gold', 'soft rock']]",2004-10-24,229386,46,0.713,0.75,2,-7.384,1,0.0356,0.232,0.0,0.202,0.924,125.196,229387,4
650,Love Triangle,3YM0vEH7taFj7OLW3dWfiu,country,https://open.spotify.com/track/3YM0vEH7taFj7OLW3dWfiu,RaeLynn,5dMnvpYEfXvSexjwnSRH5n,"['alt z', 'contemporary country', 'country pop', 'deep talent show']",2017-03-24,225626,56,0.686,0.525,2,-6.721,1,0.0331,0.135,0.0,0.11,0.322,132.927,225627,4
